iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
53,"(4, 11)","(4, 10)",North,"[((4, 12), 'North', 17179869308)]","['(25, 14)', '(34, 14)']","['(4, 12)', '(34, 14)', '(25, 14)']",[53 states],17179869292,0,17179869292
54,"(4, 12)","(4, 11)",North,"[((4, 13), 'North', 17179869324)]","['(25, 14)', '(34, 14)']","['(4, 13)', '(34, 14)', '(25, 14)']",[54 states],17179869308,0,17179869308
55,"(4, 13)","(4, 12)",North,"[((4, 14), 'North', 17179869340)]","['(25, 14)', '(34, 14)']","['(4, 14)', '(34, 14)', '(25, 14)']",[55 states],17179869324,0,17179869324
56,"(4, 14)","(4, 13)",North,"[((5, 14), 'East', 17179869372)]","['(25, 14)', '(34, 14)']","['(5, 14)', '(34, 14)', '(25, 14)']",[56 states],17179869340,0,17179869340
57,"(5, 14)","(4, 14)",East,"[((6, 14), 'East', 17179869436)]","['(25, 14)', '(34, 14)']","['(6, 14)', '(34, 14)', '(25, 14)']",[57 states],17179869372,0,17179869372
58,"(6, 14)","(5, 14)",East,"[((6, 13), 'South', 17179869500)]","['(25, 14)', '(34, 14)']","['(6, 13)', '(34, 14)', '(25, 14)']",[58 states],17179869436,0,17179869436
59,"(6, 13)","(6, 14)",South,"[((6, 12), 'South', 17179869564)]","['(25, 14)', '(34, 14)']","['(6, 12)', '(34, 14)', '(25, 14)']",[59 states],17179869500,0,17179869500
60,"(6, 12)","(6, 13)",South,"[((6, 11), 'South', 17179869628)]","['(25, 14)', '(34, 14)']","['(6, 11)', '(34, 14)', '(25, 14)']",[60 states],17179869564,0,17179869564
61,"(6, 11)","(6, 12)",South,"[((6, 10), 'South', 17179869692)]","['(25, 14)', '(34, 14)']","['(6, 10)', '(34, 14)', '(25, 14)']",[61 states],17179869628,0,17179869628
62,"(6, 10)","(6, 11)",South,"[((6, 9), 'South', 17179869756)]","['(25, 14)', '(34, 14)']","['(6, 9)', '(34, 14)', '(25, 14)']",[62 states],17179869692,0,17179869692
63,"(6, 9)","(6, 10)",South,"[((6, 8), 'South', 17179869820)]","['(25, 14)', '(34, 14)']","['(6, 8)', '(34, 14)', '(25, 14)']",[63 states],17179869756,0,17179869756
64,"(6, 8)","(6, 9)",South,"[((7, 8), 'East', 17179869948)]","['(25, 14)', '(34, 14)']","['(7, 8)', '(34, 14)', '(25, 14)']",[64 states],17179869820,0,17179869820
