iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
46,"(13, 14)","(13, 15)",South,"[((13, 13), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(13, 13)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 14), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",45,0,45
47,"(13, 13)","(13, 14)",South,"[((12, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(12, 13)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 14), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (13, 13), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",46,0,46
48,"(12, 13)","(13, 13)",West,"[((11, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(11, 13)']","[(7, 17), (6, 15), (12, 13), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 14), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (13, 13), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",47,0,47
49,"(11, 13)","(12, 13)",West,"[((10, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(10, 13)']","[(7, 17), (6, 15), (12, 13), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 14), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 13), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (13, 13), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",48,0,48
50,"(10, 13)","(11, 13)",West,"[((9, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(9, 13)']","[(7, 17), (6, 15), (12, 13), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (17, 18), (11, 17), (10, 15), (13, 14), (13, 17), (16, 19), (15, 17), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (17, 17), (9, 19), (11, 16), (8, 17), (11, 13), (11, 19), (10, 17), (13, 16), (2, 19), (13, 19), (13, 13), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (14, 17), (5, 17), (17, 19), (10, 13), (9, 15), (8, 19), (11, 15), (10, 19), (13, 15), (1, 19), (16, 17)]",49,0,49
51,"(9, 13)","(10, 13)",West,"[((8, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(8, 13)']",[51 states],50,0,50
52,"(8, 13)","(9, 13)",West,"[((7, 13), 'West')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 13)']",[52 states],51,0,51
53,"(7, 13)","(8, 13)",West,"[((7, 12), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 12)']",[53 states],52,0,52
54,"(7, 12)","(7, 13)",South,"[((7, 11), 'South')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(7, 11)']",[54 states],53,0,53
55,"(7, 11)","(7, 12)",South,"[((8, 11), 'East')]","['(1, 18)', '(17, 16)']","['(1, 18)', '(17, 16)', '(8, 11)']",[55 states],54,0,54
