iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
49,"(29, 1)","(30, 1)",West,"[((28, 1), 'West', 27)]","['(33, 16)']","['(28, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",44,28,28
50,"(28, 1)","(29, 1)",West,"[((27, 1), 'West', 26)]","['(33, 16)']","['(27, 1)', '(33, 16)']","[(34, 4), (31, 8), (31, 14), (34, 7), (34, 1), (34, 10), (34, 16), (30, 6), (30, 3), (30, 9), (32, 6), (30, 12), (33, 8), (33, 14), (32, 12), (29, 1), (31, 4), (29, 10), (31, 1), (34, 6), (31, 10), (34, 3), (34, 12), (34, 15), (30, 5), (33, 4), (30, 8), (30, 14), (33, 1), (33, 10), (32, 8), (32, 14), (29, 6), (31, 6), (31, 3), (34, 2), (31, 12), (34, 11), (34, 8), (34, 14), (28, 1), (30, 4), (32, 1), (30, 1), (30, 13), (32, 4), (30, 10), (33, 6), (33, 12), (32, 10)]",45,27,27
51,"(27, 1)","(28, 1)",West,"[((27, 2), 'North', 27)]","['(33, 16)']","['(27, 2)', '(33, 16)']",[51 states],46,26,26
52,"(27, 2)","(27, 1)",North,"[((27, 3), 'North', 28), ((26, 2), 'West', 26)]","['(33, 16)']","['(26, 2)', '(33, 16)', '(27, 3)']",[52 states],47,27,27
53,"(26, 2)","(27, 2)",West,"[((25, 2), 'West', 25)]","['(27, 3)', '(33, 16)']","['(25, 2)', '(33, 16)', '(27, 3)']",[53 states],48,26,26
54,"(25, 2)","(26, 2)",West,"[((24, 2), 'West', 24)]","['(27, 3)', '(33, 16)']","['(24, 2)', '(33, 16)', '(27, 3)']",[54 states],49,25,25
55,"(24, 2)","(25, 2)",West,"[((23, 2), 'West', 23)]","['(27, 3)', '(33, 16)']","['(23, 2)', '(33, 16)', '(27, 3)']",[55 states],50,24,24
56,"(23, 2)","(24, 2)",West,"[((22, 2), 'West', 22)]","['(27, 3)', '(33, 16)']","['(22, 2)', '(33, 16)', '(27, 3)']",[56 states],51,23,23
57,"(22, 2)","(23, 2)",West,"[((21, 2), 'West', 21)]","['(27, 3)', '(33, 16)']","['(21, 2)', '(33, 16)', '(27, 3)']",[57 states],52,22,22
58,"(21, 2)","(22, 2)",West,"[((20, 2), 'West', 20)]","['(27, 3)', '(33, 16)']","['(20, 2)', '(33, 16)', '(27, 3)']",[58 states],53,21,21
59,"(20, 2)","(21, 2)",West,"[((19, 2), 'West', 19)]","['(27, 3)', '(33, 16)']","['(19, 2)', '(33, 16)', '(27, 3)']",[59 states],54,20,20
60,"(19, 2)","(20, 2)",West,"[((18, 2), 'West', 18)]","['(27, 3)', '(33, 16)']","['(18, 2)', '(33, 16)', '(27, 3)']",[60 states],55,19,19
61,"(18, 2)","(19, 2)",West,"[((17, 2), 'West', 17)]","['(27, 3)', '(33, 16)']","['(17, 2)', '(33, 16)', '(27, 3)']",[61 states],56,18,18
62,"(17, 2)","(18, 2)",West,"[((16, 2), 'West', 16)]","['(27, 3)', '(33, 16)']","['(16, 2)', '(33, 16)', '(27, 3)']",[62 states],57,17,17
63,"(16, 2)","(17, 2)",West,"[((15, 2), 'West', 15)]","['(27, 3)', '(33, 16)']","['(15, 2)', '(33, 16)', '(27, 3)']",[63 states],58,16,16
64,"(15, 2)","(16, 2)",West,"[((15, 3), 'North', 16), ((14, 2), 'West', 14)]","['(27, 3)', '(33, 16)']","['(14, 2)', '(15, 3)', '(27, 3)', '(33, 16)']",[64 states],59,15,15
65,"(14, 2)","(15, 2)",West,"[((13, 2), 'West', 13)]","['(15, 3)', '(33, 16)', '(27, 3)']","['(13, 2)', '(15, 3)', '(27, 3)', '(33, 16)']",[65 states],60,14,14
66,"(13, 2)","(14, 2)",West,"[((12, 2), 'West', 12)]","['(15, 3)', '(33, 16)', '(27, 3)']","['(12, 2)', '(15, 3)', '(27, 3)', '(33, 16)']",[66 states],61,13,13
