iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
55,"(23, 12)","(24, 12)",West,"[((22, 12), 'West')]","['(32, 8)', '(13, 16)']","['(22, 12)', '(32, 8)', '(13, 16)']",[55 states],21,0,21
56,"(13, 16)","(14, 16)",West,"[((12, 16), 'West')]","['(22, 12)', '(32, 8)']","['(12, 16)', '(22, 12)', '(32, 8)']",[56 states],21,0,21
57,"(32, 8)","(31, 8)",East,"[((33, 8), 'East')]","['(12, 16)', '(22, 12)']","['(33, 8)', '(12, 16)', '(22, 12)']",[57 states],22,0,22
58,"(22, 12)","(23, 12)",West,"[((21, 12), 'West')]","['(33, 8)', '(12, 16)']","['(21, 12)', '(33, 8)', '(12, 16)']",[58 states],22,0,22
59,"(12, 16)","(13, 16)",West,"[((11, 16), 'West')]","['(21, 12)', '(33, 8)']","['(11, 16)', '(21, 12)', '(33, 8)']",[59 states],22,0,22
60,"(33, 8)","(32, 8)",East,"[((34, 8), 'East')]","['(11, 16)', '(21, 12)']","['(34, 8)', '(11, 16)', '(21, 12)']",[60 states],23,0,23
61,"(21, 12)","(22, 12)",West,"[((20, 12), 'West')]","['(34, 8)', '(11, 16)']","['(20, 12)', '(34, 8)', '(11, 16)']",[61 states],23,0,23
62,"(11, 16)","(12, 16)",West,"[((10, 16), 'West')]","['(20, 12)', '(34, 8)']","['(10, 16)', '(20, 12)', '(34, 8)']",[62 states],23,0,23
63,"(34, 8)","(33, 8)",East,"[((34, 7), 'South')]","['(10, 16)', '(20, 12)']","['(34, 7)', '(10, 16)', '(20, 12)']",[63 states],24,0,24
64,"(20, 12)","(21, 12)",West,"[((20, 11), 'South'), ((19, 12), 'West')]","['(34, 7)', '(10, 16)']","['(19, 12)', '(20, 11)', '(34, 7)', '(10, 16)']",[64 states],24,0,24
65,"(10, 16)","(11, 16)",West,"[((9, 16), 'West')]","['(19, 12)', '(20, 11)', '(34, 7)']","['(9, 16)', '(19, 12)', '(20, 11)', '(34, 7)']",[65 states],24,0,24
66,"(34, 7)","(34, 8)",South,"[((34, 6), 'South')]","['(9, 16)', '(19, 12)', '(20, 11)']","['(34, 6)', '(9, 16)', '(19, 12)', '(20, 11)']",[66 states],25,0,25
67,"(20, 11)","(20, 12)",South,"[((20, 10), 'South'), ((19, 11), 'West')]","['(34, 6)', '(9, 16)', '(19, 12)']","['(19, 11)', '(20, 10)', '(34, 6)', '(9, 16)', '(19, 12)']",[67 states],25,0,25
68,"(19, 12)","(20, 12)",West,"[((18, 12), 'West')]","['(19, 11)', '(20, 10)', '(34, 6)', '(9, 16)']","['(18, 12)', '(19, 11)', '(20, 10)', '(34, 6)', '(9, 16)']",[68 states],25,0,25
