iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
53,"(3, 1)","(4, 1)",West,"[((3, 2), 'North', 25)]","['(10, 9)']","['(10, 9)', '(3, 2)']",[53 states],24,0,24
54,"(10, 9)","(11, 9)",West,"[((9, 9), 'West', 26)]","['(3, 2)']","['(3, 2)', '(9, 9)']",[54 states],25,0,25
55,"(3, 2)","(3, 1)",North,"[((3, 3), 'North', 26)]","['(9, 9)']","['(9, 9)', '(3, 3)']",[55 states],25,0,25
56,"(9, 9)","(10, 9)",West,"[((9, 8), 'South', 27), ((8, 9), 'West', 27)]","['(3, 3)']","['(3, 3)', '(9, 8)', '(8, 9)']",[56 states],26,0,26
57,"(3, 3)","(3, 2)",North,"[((4, 3), 'East', 27)]","['(9, 8)', '(8, 9)']","['(9, 8)', '(8, 9)', '(4, 3)']",[57 states],26,0,26
58,"(9, 8)","(9, 9)",South,"[((9, 7), 'South', 28)]","['(8, 9)', '(4, 3)']","['(8, 9)', '(4, 3)', '(9, 7)']",[58 states],27,0,27
59,"(8, 9)","(9, 9)",West,"[((7, 9), 'West', 28)]","['(4, 3)', '(9, 7)']","['(4, 3)', '(9, 7)', '(7, 9)']",[59 states],27,0,27
60,"(4, 3)","(3, 3)",East,"[((5, 3), 'East', 28)]","['(9, 7)', '(7, 9)']","['(9, 7)', '(7, 9)', '(5, 3)']",[60 states],27,0,27
61,"(9, 7)","(9, 8)",South,[],"['(7, 9)', '(5, 3)']","['(7, 9)', '(5, 3)']",[61 states],28,0,28
62,"(7, 9)","(8, 9)",West,"[((6, 9), 'West', 29)]","['(5, 3)']","['(5, 3)', '(6, 9)']",[62 states],28,0,28
63,"(5, 3)","(4, 3)",East,"[((6, 3), 'East', 29)]","['(6, 9)']","['(6, 9)', '(6, 3)']",[63 states],28,0,28
64,"(6, 9)","(7, 9)",West,"[((5, 9), 'West', 30)]","['(6, 3)']","['(6, 3)', '(5, 9)']",[64 states],29,0,29
65,"(6, 3)","(5, 3)",East,"[((7, 3), 'East', 30)]","['(5, 9)']","['(5, 9)', '(7, 3)']",[65 states],29,0,29
66,"(5, 9)","(6, 9)",West,"[((5, 8), 'South', 31), ((4, 9), 'West', 31)]","['(7, 3)']","['(7, 3)', '(5, 8)', '(4, 9)']",[66 states],30,0,30
67,"(7, 3)","(6, 3)",East,"[((8, 3), 'East', 31)]","['(5, 8)', '(4, 9)']","['(5, 8)', '(4, 9)', '(8, 3)']",[67 states],30,0,30
